label,message
0,k
0,studying?
0,vch photo
0,'k:-
0,k
0,one senioq akka
0,k d
0,she vil mistake me only cha.dnt talk to me also
0,i am standing up
0,k
0,sorry d v seriously forgot
0,free
0,k
0,aiyo i try sterday itself nt cuming.
0,without eatin hw can i cum d
0,wru
0,idiot dog.i am ur wife wats wrong in it..hw was d photos
0,'ya ya:-
0,t oday bread butter jam d
0,i am near entrance
0,want cooker d
0,hey i didnt say u nt to talk to veena.i just told
0,cum out of ur rum..
0,wit who d.swathi told she is nt cuming
0,der
0,nw itself free for me
0,k
0,"abt ict only na.i vil tel abt d use in future,subjects releated with ece,etc.."
0,hey mes is opening nw only d.
0,i saw u
0,5 min
0,she told its in net..so i vil check it out
0,ru wearing legins
0,vidhut
0,i shwd her dat same code u send me on dat itself
0,i am in clas
0,come out of ur rum
0,no d
0,k
0,cum out
0,der
0,no
0,tel
0,k comin
0,vil cal later
0,':-
0,dat security is nt there d
0,tel
0,i told dat other program is done by u
0,i didnt say u to nt talk her
0,come out of ur rum
0,rum
0,k
0,cum up
0,bye
0,no i am nt in mes wen u cal..k u wait for sometime na anyways i vil cal u na
0,k d i am eatin nw
0,come
0,k i want to tel u important matter .later
0,'thanx a lot..:-
0,'oh k k fyn thank u:-
0,ya
0,sorry.wat can i do it is in net
0,der
0,no
0,u collect it
0,ok
0,idiot po po pakki
0,nothng k leave
0,vil try
0,i vil tell u after eat u start
0,oh sorry i dnt knw.i thaught i am angry
0,oh k k fyn i vil check it out..
0,u der
0,wru
0,sorry
0,i didnt say u to nt to talk
0,dunno d
0,ru goin to takin organizer video
0,i vil giv d buk to xerox today
0,shal v meet in break
0,poda wat is personal btwn u n me
0,k.anyways u didnt tel me first abt dis site.u told to veena only na.after dat only sterday u told me
0,i am in mes d
0,now wat class for u
0,y ru wastin phone balance ..i just askd wat u doin only na.if u told means i would hav cut..
0,k da i vil open after ten min..
0,want cooker d
0,k i am near jvc
0,k
0,i didnt say lyk dat i am just sayin dat u also askd ur frnds if i cant.
0,u
0,der
0,anyway sry i dnt knw abt dis
0,wat doin
0,wru
0,k
0,wru
0,k d
0,k
0,dnt want explanation
0,assignment pa
0,i am on d way
0,no
0,ya even i told i vil thnk of idea for dat site .did u wait
0,no
0,i hav taken 4rs d
0,u tel to her itself d.i already remembered her once.she only took al d xerox
0,der
0,k y u told lyk dat
0,k leave i am nt up to ur level na
0,k d 5min
0,bought pendrive de...copied:(will give u aft de:(actually my sim blocked so could not reply:(unna
0,u didnt lyk dat i askd coding only na
0,coding is enough
0,hey any one of u know d coding of huffman tree..plz if u knw means just rply me na...:-(:-(
0,hmmm
0,no d hav to finish dip assignment hav to shw demo
0,ya even u asked veena to teach u seriously
0,hostel
0,der
0,2min
0,tel unna to c d mobile
0,i told na i vil tel u d idea.
0,':-
0,v r cuming wru
0,even i didnt lyk dat u didnt wait for my idea n u didnt tel me first
0,k
0,wat happend i just askd u d prob
0,vidhut
0,doin dip assignment.codin
0,i trust u a lot dats wat i didnt ask anyone..after u told me to try only i askd ma frnds
0,lab over for me
0,k d
0,u told to give xerox wen v give only na.v didnt giv xerox for us. soumeya took xerox for everyone..anyway on thursday only unna thaught to take xerox.i came with u to volunter at 4.after that i thaught she would hav taken .but she didnt i dnt knw dat..
0,k
0,then..wat is dat personal matter
0,k.
0,ya d..i vil attend first session n then vil cum der
0,wru
0,u told ur rite na..then y ru telin sry
0,k k
0,u send me d mail.
0,startin frm hostel
0,she didnt copy it frm me.she download it frm net da..its k u send
0,ya even i didnt get any code frm ma frnds.
0,k
0,vidhut
0,v didnt giv xerox itself
0,k giv tomorrow
0,wats der in personal?..i told dat i am stil in touch with them so no probs in askin help ..y ru getting angry..
0,k
0,wat doin d
0,cumin
0,for wat sry
0,hey nw i got one program frm my dept frnd i am verifyin it .if nt i vil ask dat akka..thank u
0,i believed
0,i am goin to pr desk.5 to 8
0,idiot dat same is d unna program
0,ya i dnt knw to teach maths to u..so u askd veena only to teach maths for u..if i didnt give any idea means u asking ur frnds only na..
0,k
0,hey cum soon d
0,no d
0,5min
0,hello i knw him wel..he vil msg n all..i am in touch with ma frndz in msg
0,then who dat three
0,ya
0,cuminm
0,studyng
0,i am teling sry na other than dat wen i askd for help
0,k leave i vil c
0,k
0,too much da.u only told na u vil send.so nw i got lap frm unna
0,ya i am doin too much.hereafter i wnt ask any one
0,near lib
0,tips to reduce ur weight: 1st turn ur head to the right & then to the left. repeat this exercise whenever u r offered something to eat.
0,der
0,vil cal u
0,to write only..i dnt knw so i askd
0,"tel abt ful education nt only abt jobs,companies,n exams..v vil hav abt colleges ,growin technology,which field is gud for futures etc."
0,gudnite
0,k
0,ya but hav to shw demo tomorrow
0,cant u rply
0,can u do dis r nt
0,i told
0,ru sendin to shanmail r wat else
0,k
0,k da
0,k
0,k mam told she vil giv d record at 1
0,wat doin
0,ask
0,k fyn
0,k
0,k d
0,i dnt want
0,oh sry my mistake
0,huffman coding
0,k
0,send ah
0,then wat u want
0,hey yena d.un alu kandi treat taramatiya d.sema status msg
0,k
0,can v meet
0,der
0,ya
0,i didnt giv any idea
0,hey want cooker d
0,tel d
0,tel
0,k
0,can u download any program n gimme
0,po idiot i already told u in phone many tyms wen ur in rum only
0,'may b:-
0,k i wnt enough ah
0,hey is cuming d.wait in <#> .
0,wat doin
0,dnt cum mam got d record frm me.she is only having it.
0,k d
0,ya
0,oh
0,status
0,dat gate vil b open only
0,rol cal
0,can u ask prasanna abt dat coding
0,rply
0,k d if i knw i vil msg u
0,wake me up wen u start studyn
0,k
0,no ur treat
0,der
0,wru
0,k
0,ya
0,k
0,':-
0,ya
0,if ur nt talkin means dnt attend d cal.always lyk dis itself ten paise going..nw <#> rs only
0,u go n sleep dnt thnk abt dat..study for midsem
0,y ru doin lyk dis
0,hw many times i remembered u dis is fourth tym
0,'next generation lkg poem..:-d drinking drinkng little beer..%-
0,ur makin serious a smal thngs.u didnt lyk me talkin with schol frndz na..
0,adhalam yenaku theriyathu.today treat
0,hey gaks any one goin to vkj audi to watch music lits
0,for cse sneha also yesterday accident
0,i vil sleep
0,ya
0,k but as u said it vil b only arround students
0,'i love u:-
0,cum near lawn side gate d wer v celebrate ur bday.der no prob d
0,k
0,i am sorry .plz i am very tensed leave me sometime
0,k d
0,i dnt knw hav to go at 5 i am in english lits volunter..
0,wru
0,ur talkin too much..wats ur problem nw..wats wrong if i ask ma school frnds.u tel me dat first
0,k
0,wen vil u cum?
0,hey dnt forget to bring shewta dbms record...dnt forget
0,nothng
0,wen u cum to mes just msg me
0,who told u dis idea?
0,no d
0,k
0,k
0,k k thanx
0,it happens always only na.i am used it..
0,i am d volunter in carpidem
0,v told bhuvana to giv for us
0,ya at last i got it frm u only.dats y i told i am happy.n nw ur killing me with ur words
0,tel abt dat article
0,ama he talked with dat akka
0,aiyo y thnx n al no probs
0,aiyo
0,i vil study in d eve
0,oh u decided ah
0,ya :-(:-(
0,i am nt writin d exam
0,studyin
0,cse r it
0,for wat
0,i am volunter d
0,v came to just saw
0,is it wrong dat i told u i am happy
0,apadiya d solulavey illa.sure d i vil cum
0,no d
0,thank u
0,i vil sleep da
0,chuma
0,wen can i get it frm u
0,akka for me itself tshirt is very loose
0,can u cum in v vil take u inside d hostel rum d
0,k
