message,label
congratulations ur awarded either â£500 of cd gift vouchers & free entry 2 our â£100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16,1
"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k",1
"you 07801543489 are guaranteed the latests nokia phone, a 40gb ipod mp3 player or a â£500 prize! txt word:collect to no:83355! tc-llc ny-usa 150p/mt msgrcvd18+",1
"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end",1
private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 expires 26/11/04,1
"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or â£1000. to claim txt dis to 87121 18+6*â£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",1
"congrats 2 mobile 3g videophones r yours. call 09063458130 now! videochat wid ur mates, play java games, dload polyph music, noline rentl. bx420. ip4. 5we. 150p",1
great new offer - double mins & double txt on best orange tariffs and get latest camera phones 4 free! call mobileupd8 free on 08000839402 now! or 2stoptxt t&cs,1
"09066362231 urgent! your mobile no 07xxxxxxxxx won a â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach you! call 09066362231 asap!",1
refused a loan? secured or unsecured? can't get credit? call free now 0800 195 6669 or text back 'help' & we will!,1
hard live 121 chat just 60p/min. choose your girl and connect live. call 09094646899 now! cheap chat uk's biggest live service. vu bcm1896wc1n3xx,1
"urgent! you have won a 1 week free membership in our â£100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",1
call from 08702490080 - tells u 2 call 09066358152 to claim â£5000 prize. u have 2 enter all ur mobile & personal details @ the prompts. careful!,1
uâve bin awarded â£50 to play 4 instant cash. call 08715203028 to claim. every 9th player wins min â£50-â£500. optout 08718727870,1
from www.applausestore.com monthlysubscription@50p/msg max6/month t&csc web age16 2stop txt stop,1
get a brand new mobile phone by being an agent of the mob! plus loads more goodies! for more info just text mat to 87021.,1
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. can u 4fil theirs? text cute to 69911(â£1.50p. m),1
cds 4u: congratulations ur awarded â£500 of cd gift vouchers or â£125 gift guaranteed & freeentry 2 â£100 wkly draw xt music to 87066 tncs www.ldew.com1win150ppmx3age16,1
sorry i missed your call let's talk when you have the time. i'm on 07090201529,1
22 days to kick off! for euro2004 u will be kept up to date with the latest news and results daily. to be removed send get txt stop to 83222,1
free msg: single? find a partner in your area! 1000s of real people are waiting to chat now!send chat to 62220cncl send stopcs 08717890890â£1.50 per msg,1
we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text + free camcorder reply of call 08000930705 now,1
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094565,1
message important information for o2 user. today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,1
"our dating service has been asked 2 contact u by someone shy! call 09058091870 now all will be revealed. pobox84, m26 3uz 150p",1
we tried to contact you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705,1
"urgent! call 09066350750 from your landline. your complimentary 4* ibiza holiday or 10,000 cash await collection sae t&cs po box 434 sk3 8wp 150 ppm 18+",1
please call 08712402972 immediately as there is an urgent message waiting for you,1
